aut,trial,propertyType,property
1,1,e0,0.34478625649220934
1,1,c0,0.19924362444791463
1,1,s0,0.12889239258967286
1,1,e1,0.35677187375149816
1,1,c1,0.15757814811850315
1,1,s1,0.11312573906188411
2,1,e0,0.4007191370355573
2,1,c0,0.058958652915597515
2,1,s0,0.1604256996452503
2,1,e1,0.41270475429484615
2,1,c1,0.37058131414836554
2,1,s1,0.21166732361056367
3,1,e0,0.3767479025169796
3,1,c0,0.10201805301802341
3,1,s0,0.12495072920772567
3,1,e1,0.48062325209748297
3,1,c1,0.27350038720131026
3,1,s1,0.23531730390224678
4,1,e0,0.44067119456652015
4,1,c0,0.26659437077804615
4,1,s0,0.10918407567993693
4,1,e1,0.5205753096284459
4,1,c1,0.39631649813267855
4,1,s1,0.3023255813953489
5,1,e0,0.4326807830603276
5,1,c0,0.2453667168230301
5,1,s0,0.22349231375640521
5,1,e1,0.7922493008389933
5,1,c1,0.7968429830574543
5,1,s1,0.6491919590067008
6,1,e0,0.8921294446664003
6,1,c0,0.8682317469716146
6,1,s0,0.759558533701222
6,1,e1,0.8721534159009189
6,1,c1,0.893295538154528
6,1,s1,0.8817500985415846
7,1,e0,0.5405513383939273
7,1,c0,0.5340694975126028
7,1,s0,0.28655892786756015
7,1,e1,0.9880143827407112
7,1,c1,0.9728314197540282
7,1,s1,0.9763500197083169
8,1,e0,0.5525369556532161
8,1,c0,0.2972795939509287
8,1,s0,0.24714229404808832
8,1,e1,0.676388333999201
8,1,c1,0.7233257751145946
8,1,s1,0.36539219550650376
9,1,e0,0.5205753096284459
9,1,c0,0.2745142835678792
9,1,s0,0.11312573906188411
9,1,e1,0.9960047942469037
9,1,c1,0.9901620280084714
9,1,s1,0.9921166732361056
10,1,e0,0.7642828605673192
10,1,c0,0.7767684502954478
10,1,s0,0.5821836815135987
10,1,e1,0.9880143827407112
10,1,c1,0.9728314197540282
10,1,s1,0.9921166732361056
11,1,e0,0.9800239712345186
11,1,c0,0.9826693917455568
11,1,s0,0.8778084351596374
11,1,e1,0.9800239712345186
11,1,c1,0.9760703394180555
11,1,s1,0.9014584154513204
12,1,e0,1.0
12,1,c0,1.0
12,1,s0,0.9921166732361056
12,1,e1,1.0
12,1,c1,1.0
12,1,s1,1.0
13,1,e0,0.888134238913304
13,1,c0,0.5190894295617757
13,1,s0,0.7122585731178557
13,1,e1,1.0
13,1,c1,1.0
13,1,s1,0.8738667717776902
14,1,e0,1.0
14,1,c0,1.0
14,1,s0,1.0
14,1,e1,1.0
14,1,c1,1.0
14,1,s1,0.9921166732361056
15,1,e0,0.5405513383939273
15,1,c0,0.42714222153734327
15,1,s0,0.3378005518328735
15,1,e1,1.0
15,1,c1,1.0
15,1,s1,1.0
16,1,e0,1.0
16,1,c0,0.5804062500807265
16,1,s0,0.9842333464722113
16,1,e1,0.9680383539752297
16,1,c1,0.9555008114995851
16,1,s1,0.9329917225068979
17,1,e0,1.0
17,1,c0,1.0
17,1,s0,0.9842333464722113
17,1,e1,1.0
17,1,c1,1.0
17,1,s1,1.0
18,1,e0,1.0
18,1,c0,1.0
18,1,s0,0.9921166732361056
18,1,e1,0.9960047942469037
18,1,c1,1.0
18,1,s1,0.9960583366180528
19,1,e0,1.0
19,1,c0,1.0
19,1,s0,1.0
19,1,e1,1.0
19,1,c1,1.0
19,1,s1,1.0
20,1,e0,1.0
20,1,c0,1.0
20,1,s0,0.9960583366180528
20,1,e1,1.0
20,1,c1,1.0
20,1,s1,1.0
21,1,e0,0.9880143827407112
21,1,c0,1.0
21,1,s0,0.9645250295624753
21,1,e1,0.9680383539752297
21,1,c1,0.949658199012386
21,1,s1,0.9684666929444226
22,1,e0,0.7562924490611267
22,1,c0,0.8049578641308185
22,1,s0,0.4087504927079228
22,1,e1,1.0
22,1,c1,1.0
22,1,s1,1.0
23,1,e0,0.9360767079504595
23,1,c0,0.9320895006623761
23,1,s0,0.913283405597162
23,1,e1,1.0
23,1,c1,1.0
23,1,s1,1.0
24,1,e0,1.0
24,1,c0,1.0
24,1,s0,1.0
24,1,e1,1.0
24,1,c1,1.0
24,1,s1,1.0
25,1,e0,1.0
25,1,c0,1.0
25,1,s0,1.0
25,1,e1,1.0
25,1,c1,1.0
25,1,s1,1.0
26,1,e0,1.0
26,1,c0,1.0
26,1,s0,1.0
26,1,e1,1.0
26,1,c1,1.0
26,1,s1,1.0
27,1,e0,0.9960047942469037
27,1,c0,1.0
27,1,s0,0.8975167520693733
27,1,e1,1.0
27,1,c1,1.0
27,1,s1,1.0
28,1,e0,1.0
28,1,c0,1.0
28,1,s0,1.0
28,1,e1,1.0
28,1,c1,1.0
28,1,s1,1.0
29,1,e0,1.0
29,1,c0,1.0
29,1,s0,1.0
29,1,e1,1.0
29,1,c1,1.0
29,1,s1,1.0
30,1,e0,1.0
30,1,c0,1.0
30,1,s0,1.0
30,1,e1,1.0
30,1,c1,1.0
30,1,s1,1.0
31,1,e0,1.0
31,1,c0,1.0
31,1,s0,1.0
31,1,e1,1.0
31,1,c1,1.0
31,1,s1,1.0
1,2,e0,0.36076707950459447
1,2,c0,0.23645095917933642
1,2,s0,0.23531730390224678
1,2,e1,0.39672393128246103
1,2,c1,0.14019303885719117
1,2,s1,0.17619235317303905
2,2,e0,0.3727526967638833
2,2,c0,0.027515709637686108
2,2,s0,0.1407173827355144
2,2,e1,0.3367958449860168
2,2,c1,0.13019225453877054
2,2,s1,0.1840756799369334
3,2,e0,0.3487814622453056
3,2,c0,0.10899094781831481
3,2,s0,0.12100906582577849
3,2,e1,0.424690371554135
3,2,c1,0.27791116720788955
3,2,s1,0.14860070949940876
4,2,e0,0.4286855773072313
4,2,c0,0.3253402611677462
4,2,s0,0.24320063066614114
4,2,e1,0.4606472233320016
4,2,c1,0.20539631947224896
4,2,s1,0.2037839968466693
5,2,e0,0.4286855773072313
5,2,c0,0.13483066946223782
5,2,s0,0.12889239258967286
5,2,e1,0.48062325209748297
5,2,c1,0.41380145368449767
5,2,s1,0.18013401655498623
6,2,e0,0.6004794246903715
6,2,c0,0.5158356808632928
6,2,s0,0.3220338983050848
6,2,e1,1.0
6,2,c1,1.0
6,2,s1,0.9960583366180528
7,2,e0,0.832201358369956
7,2,c0,0.927063170728001
7,2,s0,0.5821836815135987
7,2,e1,0.9760287654814223
7,2,c1,0.9728314197540282
7,2,s1,0.9290500591249508
8,2,e0,0.5884938074310827
8,2,c0,0.7459453707313553
8,2,s0,0.3535672053606622
8,2,e1,0.9840191769876149
8,2,c1,0.970056369505565
8,2,s1,0.956641702798581
9,2,e0,0.6124650419496604
9,2,c0,0.5137626113884681
9,2,s0,0.25502562081198266
9,2,e1,0.9840191769876149
9,2,c1,0.9826693917455568
9,2,s1,0.9842333464722113
10,2,e0,0.9121054734318818
10,2,c0,1.0
10,2,s0,0.9172250689791092
10,2,e1,0.9480623252097483
10,2,c1,0.9292643099282154
10,2,s1,0.9054000788332677
11,2,e0,1.0
11,2,c0,1.0
11,2,s0,0.9093417422152148
11,2,e1,0.9920095884938074
11,2,c1,0.9901620280084714
11,2,s1,0.9684666929444226
12,2,e0,0.8801438274071115
12,2,c0,0.9256674796217199
12,2,s0,0.8659834450137958
12,2,e1,0.9960047942469037
12,2,c1,1.0
12,2,s1,0.9960583366180528
13,2,e0,1.0
13,2,c0,1.0
13,2,s0,1.0
13,2,e1,0.9880143827407112
13,2,c1,0.9728314197540282
13,2,s1,0.9724083563263697
14,2,e0,1.0
14,2,c0,1.0
14,2,s0,1.0
14,2,e1,1.0
14,2,c1,1.0
14,2,s1,1.0
15,2,e0,0.9161006791849781
15,2,c0,0.9292643099282154
15,2,s0,0.8659834450137958
15,2,e1,1.0
15,2,c1,1.0
15,2,s1,1.0
16,2,e0,1.0
16,2,c0,1.0
16,2,s0,0.9448167126527395
16,2,e1,1.0
16,2,c1,1.0
16,2,s1,1.0
17,2,e0,0.9960047942469037
17,2,c0,0.9901620280084714
17,2,s0,0.9960583366180528
17,2,e1,0.9960047942469037
17,2,c1,0.9901620280084714
17,2,s1,0.9960583366180528
18,2,e0,1.0
18,2,c0,1.0
18,2,s0,1.0
18,2,e1,1.0
18,2,c1,1.0
18,2,s1,1.0
19,2,e0,1.0
19,2,c0,1.0
19,2,s0,1.0
19,2,e1,0.9600479424690371
19,2,c1,0.9826693917455568
19,2,s1,0.9605833661805282
20,2,e0,1.0
20,2,c0,1.0
20,2,s0,1.0
20,2,e1,1.0
20,2,c1,1.0
20,2,s1,0.9960583366180528
21,2,e0,1.0
21,2,c0,1.0
21,2,s0,1.0
21,2,e1,1.0
21,2,c1,1.0
21,2,s1,1.0
22,2,e0,0.9920095884938074
22,2,c0,0.6124121766100477
22,2,s0,0.8659834450137958
22,2,e1,1.0
22,2,c1,1.0
22,2,s1,1.0
23,2,e0,1.0
23,2,c0,1.0
23,2,s0,1.0
23,2,e1,0.9920095884938074
23,2,c1,0.9901620280084714
23,2,s1,0.9921166732361056
24,2,e0,1.0
24,2,c0,1.0
24,2,s0,1.0
24,2,e1,1.0
24,2,c1,1.0
24,2,s1,1.0
25,2,e0,1.0
25,2,c0,1.0
25,2,s0,1.0
25,2,e1,1.0
25,2,c1,1.0
25,2,s1,1.0
26,2,e0,1.0
26,2,c0,1.0
26,2,s0,0.9645250295624753
26,2,e1,1.0
26,2,c1,1.0
26,2,s1,1.0
27,2,e0,1.0
27,2,c0,1.0
27,2,s0,0.9684666929444226
27,2,e1,1.0
27,2,c1,1.0
27,2,s1,1.0
28,2,e0,1.0
28,2,c0,1.0
28,2,s0,1.0
28,2,e1,1.0
28,2,c1,1.0
28,2,s1,1.0
29,2,e0,0.9640431482221334
29,2,c0,0.9760703394180555
29,2,s0,0.7516752069373276
29,2,e1,1.0
29,2,c1,1.0
29,2,s1,1.0
30,2,e0,1.0
30,2,c0,1.0
30,2,s0,1.0
30,2,e1,1.0
30,2,c1,1.0
30,2,s1,1.0
31,2,e0,1.0
31,2,c0,1.0
31,2,s0,1.0
31,2,e1,0.9720335597283261
31,2,c1,0.9826693917455568
31,2,s1,0.9093417422152148
1,3,e0,0.39672393128246103
1,3,c0,0.15162516004266588
1,3,s0,0.08553409538825385
1,3,e1,0.36875749101078703
1,3,c1,0.19838060378038627
1,3,s1,0.10918407567993693
2,3,e0,0.3367958449860168
2,3,c0,0.009624433621120653
2,3,s0,0.13283405597162004
2,3,e1,0.3927287255293647
2,3,c1,0.15190513017244286
2,3,s1,0.10524241229798975
3,3,e0,0.39672393128246103
3,3,c0,0.11380166019349398
3,3,s0,0.05794245171462357
3,3,e1,0.36875749101078703
3,3,c1,0.32996022218428844
3,3,s1,0.17619235317303905
4,3,e0,0.4206951658010387
4,3,c0,0.15423426934394951
4,3,s0,0.1683090264091447
4,3,e1,0.5605273671594088
4,3,c1,0.558415929188211
4,3,s1,0.3772171856523453
5,3,e0,0.41669996004794246
5,3,c0,0.16648058231785898
5,3,s0,0.05794245171462357
5,3,e1,0.4726328405912904
5,3,c1,0.14577591285418204
5,3,s1,0.19590067008277495
6,3,e0,0.620455453455853
6,3,c0,0.5669442810404864
6,3,s0,0.27079227433977143
6,3,e1,0.8801438274071115
6,3,c1,0.8720264543978969
6,3,s1,0.8817500985415846
7,3,e0,0.6284458649620456
7,3,c0,0.5982181922723254
7,3,s0,0.3811588490342925
7,3,e1,0.9880143827407112
7,3,c1,1.0
7,3,s1,0.9093417422152148
8,3,e0,0.5445465441470236
8,3,c0,0.6588251692782635
8,3,s0,0.27079227433977143
8,3,e1,0.9800239712345186
8,3,c1,0.9629934477624996
8,3,s1,0.980291683090264
9,3,e0,0.9920095884938074
9,3,c0,0.9826693917455568
9,3,s0,0.9605833661805282
9,3,e1,0.9640431482221334
9,3,c1,0.970056369505565
9,3,s1,0.956641702798581
10,3,e0,0.9280862964442669
10,3,c0,0.8717472783362067
10,3,s0,0.9172250689791092
10,3,e1,0.9400719137035557
10,3,c1,0.9287961006691774
10,3,s1,0.8659834450137958
11,3,e0,0.564522572912505
11,3,c0,0.40624182971887224
11,3,s0,0.41269215608987
11,3,e1,0.9400719137035557
11,3,c1,0.9330498172680646
11,3,s1,0.9329917225068979
12,3,e0,0.9880143827407112
12,3,c0,0.9826693917455568
12,3,s0,0.9645250295624753
12,3,e1,1.0
12,3,c1,1.0
12,3,s1,1.0
13,3,e0,1.0
13,3,c0,1.0
13,3,s0,1.0
13,3,e1,1.0
13,3,c1,1.0
13,3,s1,0.9605833661805282
14,3,e0,1.0
14,3,c0,1.0
14,3,s0,0.9881750098541584
14,3,e1,0.9880143827407112
14,3,c1,0.9760703394180555
14,3,s1,0.9684666929444226
15,3,e0,1.0
15,3,c0,1.0
15,3,s0,1.0
15,3,e1,0.9960047942469037
15,3,c1,0.9901620280084714
15,3,s1,0.9960583366180528
16,3,e0,1.0
16,3,c0,1.0
16,3,s0,1.0
16,3,e1,1.0
16,3,c1,1.0
16,3,s1,1.0
17,3,e0,1.0
17,3,c0,1.0
17,3,s0,1.0
17,3,e1,1.0
17,3,c1,1.0
17,3,s1,1.0
18,3,e0,0.9840191769876149
18,3,c0,0.970056369505565
18,3,s0,0.9093417422152148
18,3,e1,1.0
18,3,c1,1.0
18,3,s1,1.0
19,3,e0,1.0
19,3,c0,1.0
19,3,s0,1.0
19,3,e1,1.0
19,3,c1,1.0
19,3,s1,1.0
20,3,e0,0.9960047942469037
20,3,c0,1.0
20,3,s0,0.9960583366180528
20,3,e1,1.0
20,3,c1,1.0
20,3,s1,0.9921166732361056
21,3,e0,1.0
21,3,c0,1.0
21,3,s0,1.0
21,3,e1,0.9960047942469037
21,3,c1,1.0
21,3,s1,0.9960583366180528
22,3,e0,1.0
22,3,c0,1.0
22,3,s0,0.9921166732361056
22,3,e1,0.9960047942469037
22,3,c1,0.9901620280084714
22,3,s1,0.9960583366180528
23,3,e0,1.0
23,3,c0,1.0
23,3,s0,0.9960583366180528
23,3,e1,1.0
23,3,c1,1.0
23,3,s1,1.0
24,3,e0,1.0
24,3,c0,1.0
24,3,s0,1.0
24,3,e1,1.0
24,3,c1,1.0
24,3,s1,1.0
25,3,e0,1.0
25,3,c0,1.0
25,3,s0,1.0
25,3,e1,1.0
25,3,c1,1.0
25,3,s1,1.0
26,3,e0,1.0
26,3,c0,1.0
26,3,s0,1.0
26,3,e1,1.0
26,3,c1,1.0
26,3,s1,1.0
27,3,e0,1.0
27,3,c0,1.0
27,3,s0,0.9842333464722113
27,3,e1,1.0
27,3,c1,1.0
27,3,s1,1.0
28,3,e0,1.0
28,3,c0,1.0
28,3,s0,1.0
28,3,e1,1.0
28,3,c1,1.0
28,3,s1,1.0
29,3,e0,1.0
29,3,c0,1.0
29,3,s0,1.0
29,3,e1,1.0
29,3,c1,1.0
29,3,s1,1.0
30,3,e0,1.0
30,3,c0,1.0
30,3,s0,0.9960583366180528
30,3,e1,1.0
30,3,c1,1.0
30,3,s1,1.0
31,3,e0,0.7682780663204155
31,3,c0,0.8736784923345625
31,3,s0,0.8462751281040599
31,3,e1,1.0
31,3,c1,1.0
31,3,s1,1.0
1,4,e0,0.4007191370355573
1,4,c0,-0.0038365106362950197
1,4,s0,0.1407173827355144
1,4,e1,0.3527766679984019
1,4,c1,0.10427662561332524
1,4,s1,0.13283405597162004
2,4,e0,0.4007191370355573
2,4,c0,0.015205323097755444
2,4,s0,0.09341742215214821
2,4,e1,0.48062325209748297
2,4,c1,0.2786627389143826
2,4,s1,0.17619235317303905
3,4,e0,0.4606472233320016
3,4,c0,0.2332177746183942
3,4,s0,0.15648403626330312
3,4,e1,0.34478625649220934
3,4,c1,0.0689285057746901
3,4,s1,0.13283405597162004
4,4,e0,0.43667598881342384
4,4,c0,0.24905855979240415
4,4,s0,0.11312573906188411
4,4,e1,0.44067119456652015
4,4,c1,0.17935379579308425
4,4,s1,0.2077256602286165
5,4,e0,0.46863763483819415
5,4,c0,0.24649948087696263
5,4,s0,0.1604256996452503
5,4,e1,0.7682780663204155
5,4,c1,0.7023184083620847
5,4,s1,0.6570752857705952
6,4,e0,0.7962445065920895
6,4,c0,0.7909620196334637
6,4,s0,0.6452502956247537
6,4,e1,0.9280862964442669
6,4,c1,0.9189581286776485
6,4,s1,0.8620417816318486
7,4,e0,0.49660407510986815
7,4,c0,0.39955504681556686
7,4,s0,0.21166732361056367
7,4,e1,0.9640431482221334
7,4,c1,0.9405424535309792
7,4,s1,0.9251083957430035
8,4,e0,0.9880143827407112
8,4,c0,0.9704860840254143
8,4,s0,0.9408750492707922
8,4,e1,1.0
8,4,c1,1.0
8,4,s1,0.9842333464722113
9,4,e0,0.5005992808629645
9,4,c0,0.11639926874990018
9,4,s0,0.23531730390224678
9,4,e1,0.9400719137035557
9,4,c1,0.9126516467748856
9,4,s1,0.8305084745762712
10,4,e0,0.9240910906911706
10,4,c0,0.9373124419452168
10,4,s0,0.7871501773748522
10,4,e1,0.9880143827407112
10,4,c1,0.9803240560169428
10,4,s1,0.9763500197083169
11,4,e0,0.5725129844186976
11,4,c0,0.6852922102631999
11,4,s0,0.44028379976350024
11,4,e1,0.9880143827407112
11,4,c1,0.9704860840254143
11,4,s1,0.9881750098541584
12,4,e0,1.0
12,4,c0,1.0
12,4,s0,1.0
12,4,e1,1.0
12,4,c1,1.0
12,4,s1,1.0
13,4,e0,1.0
13,4,c0,1.0
13,4,s0,1.0
13,4,e1,0.9840191769876149
13,4,c1,0.9728314197540282
13,4,s1,0.980291683090264
14,4,e0,0.9960047942469037
14,4,c0,1.0
14,4,s0,0.9960583366180528
14,4,e1,1.0
14,4,c1,1.0
14,4,s1,0.9842333464722113
15,4,e0,0.9960047942469037
15,4,c0,1.0
15,4,s0,0.9881750098541584
15,4,e1,1.0
15,4,c1,1.0
15,4,s1,1.0
16,4,e0,1.0
16,4,c0,1.0
16,4,s0,0.9842333464722113
16,4,e1,1.0
16,4,c1,1.0
16,4,s1,1.0
17,4,e0,0.9720335597283261
17,4,c0,0.9644810221911886
17,4,s0,0.9605833661805282
17,4,e1,1.0
17,4,c1,1.0
17,4,s1,1.0
18,4,e0,1.0
18,4,c0,1.0
18,4,s0,1.0
18,4,e1,1.0
18,4,c1,1.0
18,4,s1,1.0
19,4,e0,0.6004794246903715
19,4,c0,0.6743390549393854
19,4,s0,0.45999211667323614
19,4,e1,1.0
19,4,c1,1.0
19,4,s1,1.0
20,4,e0,1.0
20,4,c0,1.0
20,4,s0,1.0
20,4,e1,1.0
20,4,c1,1.0
20,4,s1,0.9448167126527395
21,4,e0,1.0
21,4,c0,1.0
21,4,s0,1.0
21,4,e1,0.9001198561725929
21,4,c1,0.911933701673772
21,4,s1,0.9290500591249508
22,4,e0,1.0
22,4,c0,1.0
22,4,s0,1.0
22,4,e1,1.0
22,4,c1,1.0
22,4,s1,1.0
23,4,e0,1.0
23,4,c0,1.0
23,4,s0,0.9842333464722113
23,4,e1,1.0
23,4,c1,1.0
23,4,s1,1.0
24,4,e0,1.0
24,4,c0,1.0
24,4,s0,0.9842333464722113
24,4,e1,1.0
24,4,c1,1.0
24,4,s1,1.0
25,4,e0,1.0
25,4,c0,1.0
25,4,s0,1.0
25,4,e1,0.9840191769876149
25,4,c1,1.0
25,4,s1,0.9684666929444226
26,4,e0,0.832201358369956
26,4,c0,0.6263491591539396
26,4,s0,0.8147418210484825
26,4,e1,1.0
26,4,c1,1.0
26,4,s1,1.0
27,4,e0,1.0
27,4,c0,1.0
27,4,s0,1.0
27,4,e1,1.0
27,4,c1,1.0
27,4,s1,1.0
28,4,e0,1.0
28,4,c0,1.0
28,4,s0,0.9921166732361056
28,4,e1,0.9960047942469037
28,4,c1,0.9901620280084714
28,4,s1,0.9921166732361056
29,4,e0,0.8641630043947264
29,4,c0,0.845154876367128
29,4,s0,0.72014189988175
29,4,e1,1.0
29,4,c1,1.0
29,4,s1,1.0
30,4,e0,0.888134238913304
30,4,c0,0.8924019542191147
30,4,s0,0.8659834450137958
30,4,e1,1.0
30,4,c1,1.0
30,4,s1,1.0
31,4,e0,1.0
31,4,c0,1.0
31,4,s0,1.0
31,4,e1,1.0
31,4,c1,1.0
31,4,s1,1.0
1,5,e0,0.44067119456652015
1,5,c0,0.10861438199522705
1,5,s0,0.14860070949940876
1,5,e1,0.34079105073911303
1,5,c1,0.08834601757012576
1,5,s1,0.13677571935356722
2,5,e0,0.35677187375149816
2,5,c0,0.12483929920534324
2,5,s0,0.16436736302719748
2,5,e1,0.46464242908509784
2,5,c1,0.12752476851317307
2,5,s1,0.14465904611746158
3,5,e0,0.38473831402317216
3,5,c0,0.21639137663715802
3,5,s0,0.13677571935356722
3,5,e1,0.6723931282461046
3,5,c1,0.6418145238748882
3,5,s1,0.4521087899093418
4,5,e0,0.8681582101478226
4,5,c0,0.888721986192941
4,5,s0,0.7122585731178557
4,5,e1,0.8162205353575709
4,5,c1,0.8827080162804507
4,5,s1,0.6767836026803311
5,5,e0,0.4446664003196164
5,5,c0,0.06808000057778968
5,5,s0,0.09735908553409539
5,5,e1,0.9081102676787854
5,5,c1,0.8950829484248755
5,5,s1,0.8581001182499014
6,5,e0,0.4606472233320016
6,5,c0,0.23864632444099165
6,5,s0,0.2077256602286165
6,5,e1,0.7403116260487416
6,5,c1,0.7119380144396152
6,5,s1,0.36933385888845094
7,5,e0,0.648421893727527
7,5,c0,0.6288823139961903
7,5,s0,0.2786756011036658
7,5,e1,1.0
7,5,c1,1.0
7,5,s1,0.9960583366180528
8,5,e0,0.4766280463443867
8,5,c0,0.3188143605894207
8,5,s0,0.22349231375640521
8,5,e1,0.9720335597283261
8,5,c1,0.9433175037794425
8,5,s1,0.9684666929444226
9,5,e0,0.8721534159009189
9,5,c0,0.9051590105119708
9,5,s0,0.6413086322428064
9,5,e1,0.9720335597283261
9,5,c1,0.9901620280084714
9,5,s1,0.9684666929444226
10,5,e0,0.9121054734318818
10,5,c0,0.9543306158636068
10,5,s0,0.9093417422152148
10,5,e1,0.9920095884938074
10,5,c1,0.9901620280084714
10,5,s1,0.9921166732361056
11,5,e0,0.7922493008389933
11,5,c0,0.742886370330034
11,5,s0,0.5467087110760741
11,5,e1,0.9960047942469037
11,5,c1,0.9901620280084714
11,5,s1,0.9881750098541584
12,5,e0,0.9041150619256891
12,5,c0,0.8486618177583605
12,5,s0,0.8305084745762712
12,5,e1,1.0
12,5,c1,1.0
12,5,s1,0.9921166732361056
13,5,e0,0.9920095884938074
13,5,c0,1.0
13,5,s0,0.9369333858888451
13,5,e1,1.0
13,5,c1,1.0
13,5,s1,1.0
14,5,e0,1.0
14,5,c0,1.0
14,5,s0,0.9960583366180528
14,5,e1,1.0
14,5,c1,1.0
14,5,s1,0.9960583366180528
15,5,e0,0.7882540950858969
15,5,c0,0.6439187603576321
15,5,s0,0.72014189988175
15,5,e1,1.0
15,5,c1,1.0
15,5,s1,1.0
16,5,e0,0.9960047942469037
16,5,c0,1.0
16,5,s0,0.9960583366180528
16,5,e1,1.0
16,5,c1,1.0
16,5,s1,1.0
17,5,e0,0.9960047942469037
17,5,c0,0.9901620280084714
17,5,s0,0.9960583366180528
17,5,e1,1.0
17,5,c1,1.0
17,5,s1,1.0
18,5,e0,1.0
18,5,c0,1.0
18,5,s0,0.9960583366180528
18,5,e1,1.0
18,5,c1,1.0
18,5,s1,1.0
19,5,e0,1.0
19,5,c0,1.0
19,5,s0,1.0
19,5,e1,1.0
19,5,c1,1.0
19,5,s1,0.980291683090264
20,5,e0,0.9880143827407112
20,5,c0,0.9901620280084714
20,5,s0,0.9881750098541584
20,5,e1,1.0
20,5,c1,1.0
20,5,s1,1.0
21,5,e0,0.704354774270875
21,5,c0,0.6707705190080321
21,5,s0,0.4324004729996059
21,5,e1,1.0
21,5,c1,1.0
21,5,s1,1.0
22,5,e0,1.0
22,5,c0,1.0
22,5,s0,1.0
22,5,e1,1.0
22,5,c1,1.0
22,5,s1,1.0
23,5,e0,1.0
23,5,c0,1.0
23,5,s0,1.0
23,5,e1,1.0
23,5,c1,1.0
23,5,s1,1.0
24,5,e0,0.9840191769876149
24,5,c0,0.970056369505565
24,5,s0,0.8738667717776902
24,5,e1,1.0
24,5,c1,1.0
24,5,s1,1.0
25,5,e0,0.9880143827407112
25,5,c0,0.9826693917455568
25,5,s0,0.9527000394166338
25,5,e1,1.0
25,5,c1,1.0
25,5,s1,1.0
26,5,e0,0.9960047942469037
26,5,c0,1.0
26,5,s0,0.739850216791486
26,5,e1,1.0
26,5,c1,1.0
26,5,s1,1.0
27,5,e0,1.0
27,5,c0,0.5804062500807265
27,5,s0,0.980291683090264
27,5,e1,1.0
27,5,c1,1.0
27,5,s1,1.0
28,5,e0,0.7403116260487416
28,5,c0,0.7667142669310811
28,5,s0,0.6255419787150177
28,5,e1,1.0
28,5,c1,1.0
28,5,s1,1.0
29,5,e0,1.0
29,5,c0,1.0
29,5,s0,1.0
29,5,e1,1.0
29,5,c1,1.0
29,5,s1,1.0
30,5,e0,1.0
30,5,c0,1.0
30,5,s0,1.0
30,5,e1,1.0
30,5,c1,1.0
30,5,s1,1.0
31,5,e0,0.9760287654814223
31,5,c0,0.9644810221911886
31,5,s0,0.9763500197083169
31,5,e1,1.0
31,5,c1,1.0
31,5,s1,1.0
1,6,e0,0.35677187375149816
1,6,c0,0.06691252187500994
1,6,s0,0.1683090264091447
1,6,e1,0.4047143427886536
1,6,c1,0.06091977920386357
1,6,s1,0.14860070949940876
2,6,e0,0.4007191370355573
2,6,c0,0.12249407134827787
2,6,s0,0.13677571935356722
2,6,e1,0.3527766679984019
2,6,c1,0.1738439018518401
2,6,s1,0.09735908553409539
3,6,e0,0.5165801038753496
3,6,c0,0.31488134328793876
3,6,s0,0.30626724477729605
3,6,e1,0.704354774270875
3,6,c1,0.6284097449567656
3,6,s1,0.5703586913677572
4,6,e0,0.49260886935677184
4,6,c0,0.1831897674443871
4,6,s0,0.14860070949940876
4,6,e1,0.41669996004794246
4,6,c1,0.32787416643761985
