n,bottle,trial,generation
6,14,1,18
6,14,2,22
6,14,3,35
6,14,4,33
6,14,5,23
6,14,6,11
6,14,7,32
6,14,8,12
6,14,9,82
6,14,10,18
6,14,11,16
6,14,12,14
6,14,13,27
6,14,14,21
6,14,15,31
6,14,16,39
6,14,17,41
6,14,18,16
6,14,19,17
6,14,20,59
6,14,21,22
6,14,22,23
6,14,23,17
6,14,24,21
6,14,25,28
6,15,1,12
6,15,2,23
6,15,3,22
6,15,4,44
6,15,5,25
6,15,6,15
6,15,7,23
6,15,8,21
6,15,9,20
6,15,10,21
6,15,11,34
6,15,12,12
6,15,13,19
6,15,14,19
6,15,15,9
6,15,16,26
6,15,17,14
6,15,18,9
6,15,19,29
6,15,20,16
6,15,21,23
6,15,22,14
6,15,23,22
6,15,24,22
6,15,25,8
6,16,1,17
6,16,2,21
6,16,3,12
6,16,4,14
6,16,5,23
6,16,6,22
6,16,7,23
6,16,8,23
6,16,9,24
6,16,10,21
6,16,11,10
6,16,12,17
6,16,13,22
6,16,14,12
6,16,15,30
6,16,16,17
6,16,17,13
6,16,18,28
6,16,19,22
6,16,20,17
6,16,21,19
6,16,22,23
6,16,23,28
6,16,24,16
6,16,25,20
6,17,1,23
6,17,2,18
6,17,3,12
6,17,4,15
6,17,5,17
6,17,6,23
6,17,7,24
6,17,8,10
6,17,9,34
6,17,10,14
6,17,11,20
6,17,12,12
6,17,13,12
6,17,14,12
6,17,15,9
6,17,16,25
6,17,17,9
6,17,18,14
6,17,19,15
6,17,20,16
6,17,21,20
6,17,22,11
6,17,23,11
6,17,24,28
6,17,25,19
6,18,1,9
6,18,2,18
6,18,3,22
6,18,4,21
6,18,5,27
6,18,6,27
6,18,7,22
6,18,8,9
6,18,9,13
6,18,10,18
6,18,11,17
6,18,12,20
6,18,13,20
6,18,14,10
6,18,15,9
6,18,16,14
6,18,17,17
6,18,18,18
6,18,19,16
6,18,20,13
6,18,21,25
6,18,22,15
6,18,23,13
6,18,24,12
6,18,25,25
6,19,1,10
6,19,2,11
6,19,3,14
6,19,4,10
6,19,5,9
6,19,6,16
6,19,7,29
6,19,8,20
6,19,9,18
6,19,10,13
6,19,11,15
6,19,12,27
6,19,13,12
6,19,14,27
6,19,15,32
6,19,16,7
6,19,17,31
6,19,18,10
6,19,19,11
6,19,20,15
6,19,21,16
6,19,22,16
6,19,23,13
6,19,24,19
6,19,25,10
6,20,1,18
6,20,2,15
6,20,3,10
6,20,4,19
6,20,5,11
6,20,6,13
6,20,7,18
6,20,8,10
6,20,9,12
6,20,10,11
6,20,11,16
6,20,12,17
6,20,13,8
6,20,14,13
6,20,15,13
6,20,16,18
6,20,17,26
6,20,18,17
6,20,19,10
6,20,20,12
6,20,21,15
6,20,22,16
6,20,23,17
6,20,24,18
6,20,25,14
6,21,1,33
6,21,2,9
6,21,3,13
6,21,4,14
6,21,5,7
6,21,6,11
6,21,7,13
6,21,8,12
6,21,9,13
6,21,10,10
6,21,11,13
6,21,12,14
6,21,13,15
6,21,14,13
6,21,15,13
6,21,16,15
6,21,17,15
6,21,18,14
6,21,19,10
6,21,20,19
6,21,21,14
6,21,22,12
6,21,23,17
6,21,24,16
6,21,25,13
7,21,1,14
7,21,2,26
7,21,3,14
7,21,4,12
7,21,5,17
7,21,6,15
7,21,7,15
7,21,8,14
7,21,9,25
7,21,10,15
7,21,11,17
7,21,12,13
7,21,13,20
7,21,14,22
7,21,15,11
7,21,16,13
7,21,17,15
7,21,18,15
7,21,19,25
7,21,20,11
7,21,21,15
7,21,22,26
7,21,23,25
7,21,24,18
7,21,25,18
7,22,1,13
7,22,2,13
7,22,3,18
7,22,4,18
7,22,5,15
7,22,6,18
7,22,7,27
7,22,8,15
7,22,9,22
7,22,10,25
7,22,11,31
7,22,12,12
7,22,13,25
7,22,14,11
7,22,15,21
7,22,16,13
7,22,17,16
7,22,18,13
7,22,19,23
7,22,20,9
7,22,21,16
7,22,22,18
7,22,23,12
7,22,24,16
7,22,25,27
7,23,1,16
7,23,2,9
7,23,3,12
7,23,4,29
7,23,5,19
7,23,6,13
7,23,7,17
7,23,8,11
7,23,9,14
7,23,10,10
7,23,11,18
7,23,12,24
7,23,13,13
7,23,14,22
7,23,15,17
7,23,16,12
7,23,17,12
7,23,18,20
7,23,19,15
7,23,20,13
7,23,21,24
7,23,22,18
7,23,23,12
7,23,24,19
7,23,25,18
7,24,1,14
7,24,2,12
7,24,3,15
7,24,4,9
7,24,5,20
7,24,6,24
7,24,7,11
7,24,8,10
7,24,9,21
7,24,10,11
7,24,11,28
7,24,12,11
7,24,13,16
7,24,14,22
7,24,15,9
7,24,16,12
7,24,17,22
7,24,18,16
7,24,19,18
7,24,20,12
7,24,21,21
7,24,22,31
7,24,23,13
7,24,24,24
7,24,25,26
7,25,1,19
7,25,2,12
7,25,3,12
7,25,4,16
7,25,5,15
7,25,6,17
7,25,7,12
7,25,8,16
7,25,9,18
7,25,10,19
7,25,11,12
7,25,12,9
7,25,13,11
7,25,14,15
7,25,15,22
7,25,16,17
7,25,17,18
7,25,18,14
7,25,19,11
7,25,20,20
7,25,21,12
7,25,22,15
7,25,23,16
7,25,24,11
7,25,25,13
7,26,1,15
7,26,2,19
7,26,3,17
7,26,4,13
7,26,5,13
7,26,6,12
7,26,7,32
7,26,8,11
7,26,9,17
7,26,10,15
7,26,11,19
7,26,12,13
7,26,13,16
7,26,14,13
7,26,15,10
7,26,16,8
7,26,17,24
7,26,18,12
7,26,19,11
7,26,20,12
7,26,21,9
7,26,22,18
7,26,23,20
7,26,24,10
7,26,25,16
7,27,1,22
7,27,2,11
7,27,3,14
7,27,4,11
7,27,5,17
7,27,6,12
7,27,7,11
7,27,8,13
7,27,9,17
7,27,10,17
7,27,11,10
7,27,12,15
7,27,13,11
7,27,14,11
7,27,15,15
7,27,16,12
7,27,17,13
7,27,18,14
7,27,19,18
7,27,20,23
7,27,21,18
7,27,22,9
7,27,23,15
7,27,24,19
7,27,25,13
7,28,1,10
7,28,2,8
7,28,3,15
7,28,4,19
7,28,5,17
7,28,6,10
7,28,7,12
7,28,8,12
7,28,9,13
7,28,10,11
7,28,11,10
7,28,12,14
7,28,13,14
7,28,14,12
7,28,15,13
7,28,16,12
7,28,17,11
7,28,18,14
7,28,19,15
7,28,20,15
7,28,21,20
7,28,22,16
7,28,23,13
7,28,24,13
7,28,25,11
7,29,1,11
7,29,2,11
7,29,3,16
7,29,4,14
7,29,5,17
7,29,6,18
7,29,7,27
7,29,8,12
7,29,9,11
7,29,10,10
7,29,11,11
7,29,12,15
7,29,13,13
7,29,14,9
7,29,15,11
7,29,16,15
7,29,17,15
7,29,18,17
7,29,19,11
7,29,20,14
7,29,21,14
7,29,22,14
7,29,23,11
7,29,24,19
7,29,25,14
7,30,1,10
7,30,2,45
7,30,3,12
7,30,4,24
7,30,5,14
7,30,6,11
7,30,7,12
7,30,8,10
7,30,9,11
7,30,10,11
7,30,11,10
7,30,12,16
7,30,13,9
7,30,14,16
7,30,15,17
7,30,16,17
7,30,17,14
7,30,18,24
7,30,19,12
7,30,20,21
7,30,21,10
7,30,22,22
7,30,23,13
7,30,24,27
7,30,25,27
7,31,1,13
7,31,2,12
7,31,3,14
7,31,4,14
7,31,5,11
7,31,6,13
7,31,7,33
7,31,8,9
7,31,9,15
7,31,10,14
7,31,11,11
7,31,12,20
7,31,13,35
7,31,14,18
7,31,15,12
7,31,16,17
7,31,17,14
7,31,18,21
7,31,19,9
7,31,20,15
7,31,21,9
7,31,22,27
7,31,23,11
7,31,24,18
7,31,25,10
7,32,1,24
7,32,2,16
7,32,3,11
7,32,4,10
7,32,5,10
7,32,6,30
7,32,7,17
7,32,8,11
7,32,9,9
7,32,10,14
7,32,11,16
7,32,12,18
7,32,13,17
7,32,14,9
7,32,15,9
7,32,16,15
7,32,17,11
7,32,18,15
7,32,19,11
7,32,20,12
7,32,21,9
7,32,22,12
7,32,23,14
7,32,24,16
7,32,25,13
7,33,1,14
7,33,2,13
7,33,3,10
7,33,4,10
7,33,5,16
7,33,6,11
7,33,7,13
7,33,8,20
7,33,9,22
7,33,10,11
7,33,11,11
7,33,12,18
7,33,13,10
7,33,14,19
7,33,15,12
7,33,16,12
7,33,17,21
7,33,18,12
7,33,19,14
8,14,1,201
8,14,2,201
8,14,3,201
8,14,4,201
8,14,5,201
8,14,6,201
8,14,7,201
8,14,8,201
8,14,9,201
8,14,10,201
8,14,11,201
8,14,12,201
8,14,13,201
8,14,14,201
8,14,15,201
8,14,16,201
8,14,17,201
8,14,18,201
8,14,19,201
8,14,20,201
8,14,21,201
8,14,22,201
8,14,23,201
8,14,24,201
8,14,25,201
8,15,1,201
8,15,2,201
8,15,3,201
8,15,4,201
8,15,5,201
8,15,6,201
8,15,7,201
8,15,8,201
8,15,9,201
8,32,1,16
8,32,2,14
8,32,3,17
8,32,4,12
8,32,5,21
8,32,6,15
8,32,7,14
8,32,8,17
8,32,9,13
8,32,10,20
8,32,11,14
8,32,12,22
8,32,13,23
8,32,14,14
8,32,15,12
8,32,16,15
8,32,17,16
8,32,18,12
8,32,19,17
8,32,20,13
8,32,21,16
8,32,22,16
8,32,23,14
8,32,24,11
8,32,25,14
8,33,1,16
8,33,2,17
8,33,3,13
8,33,4,14
8,33,5,10
8,33,6,15
8,33,7,14
8,33,8,16
8,33,9,21
8,33,10,14
8,33,11,19
8,33,12,15
8,33,13,20
8,33,14,12
8,33,15,14
8,33,16,14
8,33,17,10
8,33,18,19
8,33,19,19
8,33,20,15
8,33,21,17
8,33,22,23
8,33,23,11
8,33,24,14
8,33,25,12
8,34,1,15
8,34,2,10
8,34,3,12
8,34,4,14
8,34,5,17
8,34,6,12
8,34,7,13
8,34,8,12
8,34,9,19
8,34,10,17
8,34,11,14
8,34,12,15
8,34,13,13
8,34,14,15
8,34,15,21
8,34,16,36
8,34,17,15
8,34,18,12
8,34,19,18
8,34,20,20
8,34,21,15
8,34,22,10
8,34,23,14
8,34,24,17
8,34,25,12
8,35,1,13
8,35,2,11
8,35,3,12
8,35,4,17
8,35,5,14
8,35,6,14
8,35,7,12
8,35,8,17
8,35,9,15
8,35,10,10
8,35,11,16
8,35,12,12
8,35,13,20
8,35,14,13
8,35,15,11
8,35,16,12
8,35,17,14
8,35,18,15
8,35,19,42
8,35,20,13
8,35,21,16
8,35,22,16
8,35,23,16
8,35,24,15
8,35,25,21
8,36,1,12
8,36,2,8
8,36,3,11
8,36,4,16
8,36,5,15
8,36,6,18
8,36,7,15
8,36,8,17
8,36,9,22
8,36,10,10
8,36,11,9
8,36,12,18
8,36,13,12
8,36,14,13
8,36,15,11
8,36,16,11
8,36,17,17
8,36,18,11
8,37,1,17
8,37,2,19
8,37,3,16
8,37,4,15
8,37,5,12
8,37,6,12
8,37,7,11
8,37,8,16
8,37,9,18
8,37,10,19
8,37,11,30
8,37,12,12
8,37,13,16
8,37,14,16
8,37,15,12
8,37,16,16
8,37,17,15
8,37,18,17
8,37,19,28
8,37,20,12
8,37,21,17
8,37,22,22
8,37,23,12
8,37,24,14
8,37,25,15
8,38,1,14
8,38,2,16
8,38,3,14
8,38,4,15
8,38,5,15
8,38,6,11
8,38,7,12
8,38,8,11
8,38,9,11
8,38,10,19
8,38,11,21
8,38,12,17
8,38,13,15
8,38,14,19
8,38,15,16
8,38,16,11
8,38,17,13
8,38,18,11
8,38,19,13
8,38,20,13
8,38,21,13
8,38,22,12
8,38,23,15
8,38,24,12
8,38,25,12
8,39,1,16
8,39,2,11
8,39,3,11
8,39,4,20
8,39,5,12
8,39,6,31
8,39,7,12
8,39,8,15
8,39,9,21
8,39,10,16
8,39,11,16
8,39,12,14
8,39,13,15
8,39,14,17
8,39,15,13
8,39,16,10
8,39,17,13
8,39,18,12
8,39,19,11
8,39,20,17
8,39,21,13
8,39,22,12
8,39,23,11
8,39,24,13
8,39,25,11
8,40,1,13
8,40,2,12
8,40,3,16
8,40,4,14
8,40,5,13
8,40,6,15
8,40,7,15
8,40,8,13
8,40,9,13
8,40,10,20
8,40,11,16
8,40,12,31
8,40,13,20
8,40,14,11
8,40,15,10
8,40,16,10
8,40,17,18
8,40,18,16
8,40,19,10
8,40,20,12
8,40,21,18
8,40,22,11
8,40,23,13
8,40,24,11
8,40,25,16
8,41,1,15
8,41,2,16
8,41,3,11
8,41,4,12
8,41,5,11
8,41,6,15
8,41,7,14
8,41,8,14
8,41,9,12
8,41,10,13
8,41,11,11
8,41,12,9
8,41,13,15
8,41,14,10
8,41,15,13
8,41,16,17
8,41,17,11
8,41,18,13
8,41,19,14
8,41,20,13
8,41,21,12
8,41,22,12
8,41,23,12
8,41,24,98
8,41,25,10
8,42,1,16
8,42,2,15
8,42,3,13
8,42,4,15
8,42,5,10
8,42,6,16
8,42,7,28
8,42,8,12
8,42,9,10
8,42,10,15
8,42,11,18
8,42,12,11
8,42,13,11
8,42,14,8
8,42,15,15
8,42,16,17
8,42,17,14
8,42,18,16
8,42,19,13
8,42,20,11
8,42,21,12
8,42,22,12
8,42,23,14
8,42,24,14
8,42,25,11
8,43,1,17
8,43,2,12
8,43,3,8
8,43,4,14
8,43,5,13
8,43,6,16
8,43,7,14
8,43,8,16
8,43,9,10
8,43,10,11
8,43,11,15
8,43,12,11
8,43,13,14
8,43,14,11
8,43,15,37
8,43,16,7
8,43,17,41
8,43,18,16
8,43,19,11
8,43,20,27
8,43,21,10
8,43,22,9
8,43,23,11
8,43,24,19
8,43,25,12
8,44,1,11
8,44,2,13
8,44,3,10
8,44,4,14
8,44,5,25
8,44,6,13
8,44,7,16
8,44,8,10
8,44,9,12
8,44,10,13
8,44,11,14
8,44,12,69
8,44,13,11
8,44,14,15
8,44,15,31
8,44,16,14
8,44,17,11
8,44,18,12
8,44,19,13
8,44,20,10
8,44,21,13
8,44,22,15
8,44,23,18
8,44,24,17
8,44,25,12
8,45,1,10
8,45,2,14
8,45,3,13
8,45,4,14
8,45,5,14
8,45,6,16
8,45,7,10
8,45,8,11
8,45,9,10
8,45,10,12
8,45,11,14
8,45,12,13
8,45,13,16
8,45,14,18
8,45,15,15
8,45,16,16
8,45,17,12
8,45,18,11
8,45,19,12
8,45,20,29
8,45,21,84
8,45,22,17
8,45,23,12
8,45,24,14
8,45,25,16
8,46,1,41
8,46,2,13
8,46,3,14
8,46,4,9
8,46,5,15
8,46,6,25
8,46,7,14
8,46,8,16
8,46,9,13
8,46,10,11
8,46,11,11
8,46,12,13
8,46,13,10
8,46,14,21
8,46,15,21
8,46,16,14
8,46,17,10
8,46,18,11
8,46,19,8
8,46,20,18
8,46,21,10
8,46,22,13
8,46,23,12
8,46,24,11
8,46,25,15
8,47,1,12
8,47,2,12
8,47,3,11
8,47,4,17
8,47,5,11
8,47,6,10
8,47,7,27
8,47,8,14
8,47,9,15
8,47,10,12
8,47,11,13
8,47,12,13
8,47,13,19
8,47,14,14
8,47,15,13
8,47,16,15
8,47,17,15
8,47,18,10
8,47,19,15
8,47,20,15
8,47,21,12
8,47,22,15
8,47,23,15
8,47,24,14
8,47,25,20
8,48,1,11
8,48,2,16
8,48,3,15
8,48,4,11
8,48,5,11
8,48,6,14
8,48,7,20
8,48,8,24
8,48,9,18
8,48,10,15
8,48,11,14
8,48,12,10
8,48,13,11
8,48,14,17
8,48,15,13
8,48,16,46
8,48,17,32
8,48,18,13
8,48,19,18
8,48,20,13
8,48,21,12
8,48,22,15
8,48,23,10
8,48,24,13
8,48,25,14
8,49,1,13
8,49,2,11
8,49,3,38
8,49,4,12
8,49,5,9
8,49,6,11
8,49,7,16
8,49,8,18
8,49,9,13
8,49,10,18
8,49,11,15
8,49,12,17
8,49,13,11
8,49,14,14
8,49,15,11
8,49,16,12
8,49,17,12
8,49,18,18
8,49,19,10
8,49,20,13
8,49,21,13
8,49,22,52
8,49,23,16
8,49,24,14
8,49,25,15
8,50,1,19
8,50,2,20
8,50,3,47
8,50,4,16
8,50,5,8
8,50,6,11
8,50,7,16
8,50,8,13
8,50,9,13
8,50,10,19
8,50,11,12
8,50,12,18
8,50,13,13
8,50,14,15
8,50,15,12
8,50,16,15
8,50,17,15
8,50,18,19
8,50,19,69
8,50,20,25
8,50,21,12
8,50,22,11
8,50,23,15
8,50,24,15
8,50,25,15
8,51,1,14
8,51,2,14
8,51,3,18
8,51,4,15
8,51,5,12
8,51,6,14
8,51,7,12
8,51,8,14
8,51,9,13
8,51,10,13
8,51,11,15
8,51,12,17
8,51,13,14
8,51,14,13
8,51,15,16
8,51,16,14
8,51,17,15
8,51,18,13
8,51,19,11
8,51,20,11
8,51,21,17
8,51,22,65
8,51,23,14
8,51,24,11
8,51,25,11
8,52,1,12
8,52,2,15
8,52,3,12
8,52,4,19
8,52,5,11
8,52,6,9
8,52,7,12
8,52,8,10
8,52,9,14
8,52,10,18
8,52,11,14
8,52,12,11
8,52,13,16
8,52,14,15
8,52,15,12
8,52,16,17
8,52,17,14
8,52,18,10
8,52,19,20
8,52,20,11
8,52,21,21
8,52,22,14
8,52,23,10
8,52,24,15
8,52,25,11
8,53,1,14
8,53,2,14
8,53,3,15
8,53,4,11
8,53,5,12
8,53,6,15
8,53,7,10
8,53,8,15
8,53,9,13
8,53,10,14
8,53,11,20
8,53,12,12
8,53,13,12
8,53,14,17
8,53,15,22
8,53,16,14
8,53,17,15
8,53,18,16
8,53,19,16
8,53,20,16
8,53,21,21
8,53,22,13
8,53,23,13
8,53,24,16
8,53,25,10
8,54,1,16
8,54,2,14
8,54,3,12
8,54,4,14
8,54,5,16
8,54,6,17
8,54,7,18
8,54,8,13
8,54,9,19
8,54,10,17
8,54,11,26
8,54,12,10
8,54,13,39
8,54,14,22
8,54,15,18
8,54,16,12
8,54,17,13
8,54,18,18
8,54,19,14
8,54,20,32
8,54,21,28
8,54,22,10
8,54,23,10
8,54,24,14
8,54,25,17
8,55,1,9
8,55,2,17
8,55,3,10
8,55,4,18
8,55,5,11
8,55,6,19
8,55,7,19
8,55,8,21
8,55,9,10
8,55,10,14
8,55,11,20
8,55,12,11
8,55,13,25
8,55,14,14
8,55,15,12
8,55,16,17
8,55,17,13
8,55,18,16
8,55,19,11
8,55,20,14
8,55,21,10
8,55,22,13
8,55,23,13
8,55,24,17
8,55,25,30
8,56,1,18
8,56,2,20
8,56,3,16
8,56,4,12
8,56,5,14
8,56,6,14
8,56,7,12
8,56,8,12
8,56,9,12
8,56,10,13
8,56,11,15
8,56,12,12
8,56,13,10
8,56,14,20
8,56,15,13
8,56,16,19
8,56,17,14
8,56,18,15
8,56,19,18
8,56,20,12
8,56,21,12
8,56,22,13
8,56,23,12
8,56,24,12
8,56,25,18
8,57,1,14
8,57,2,18
8,57,3,11
8,57,4,14
8,57,5,23
8,57,6,16
8,57,7,12
8,57,8,15
8,57,9,14
8,57,10,11
8,57,11,13
8,57,12,18
8,57,13,15
8,57,14,18
8,57,15,19
8,57,16,13
8,57,17,14
8,57,18,11
8,57,19,13
8,57,20,16
8,57,21,10
8,57,22,12
8,57,23,13
8,57,24,14
8,57,25,18
8,58,1,16
8,58,2,31
8,58,3,16
8,58,4,16
8,58,5,11
8,58,6,17
8,58,7,13
8,58,8,163
8,58,9,36
8,58,10,17
8,58,11,12
8,58,12,16
8,58,13,13
8,58,14,21
8,58,15,35
8,58,16,12
8,58,17,28
8,58,18,11
8,58,19,12
8,58,20,17
8,58,21,19
8,58,22,13
8,58,23,85
8,58,24,11
8,58,25,16
9,52,1,13
9,52,2,15
9,52,3,19
9,52,4,11
9,52,5,16
9,52,6,17
